o_name,o_start_x,o_start_y,o_angle,o_speed,o_start_time,o_duration,t_name,t_start_x,t_start_y,t_angle,t_speed,t_return_time,t_return_duration,t_return_angle,t_final_dest_x,t_final_dest_y,meeting_time,meeting_x,meeting_y
Drone 1,0.0,0.0,41.116879068346634,70,0.0,3.1612342276343552,Hedef 1,125.0,175.0,112.0,7.0,59.020949399034876,55.859715171400524,31.530308927947885,350,500,3.1612342276343552,145.51731735456536,166.7104657049728
Drone 2,500.0,500.0,219.98238717161735,50,0.0,8.95367594470128,Hedef 2,200.0,200.0,164.0,5.0,82.87870111214116,73.92502516743988,21.865672953768524,350,500,8.95367594470128,212.33983781119866,156.9658713825716
Drone 3,250.0,250.0,58.6330222253664,30,0.0,3.2019410160110384,Hedef 3,300.0,300.0,90.0,10.0,23.282603756814776,20.08066274080374,5.137248587809381,350,500,3.2019410160110384,332.0194101601104,300.0
Drone 1,145.51731735456536,166.7104657049728,25.09176746545654,70,3.1612342276343552,3.717889690909917,Hedef 4,297.0,406.0,265.0,6.0,29.476675909417686,22.597551990873416,43.960188953505906,350,500,6.879123918544272,255.88231934898053,402.40266907255665
Drone 3,332.0194101601104,300.0,44.356572144395386,30,3.2019410160110384,1.6056897691032634,Hedef 5,377.0,350.0,216.0,4.0,46.38269427220203,41.575063487087725,354.5839610243572,350,500,4.807630785114302,365.6965821041701,334.4421799686495
Drone 3,365.6965821041701,334.4421799686495,222.65016504016194,30,4.807630785114302,7.703718812552546,Hedef 6,357.0,280.0,232.0,15.0,36.77260388101342,24.261254283346567,22.776426369854732,350,500,12.511349597666849,209.1138296235808,164.4586607257802
Drone 1,255.88231934898053,402.40266907255665,125.14778063801737,70,6.879123918544272,5.421463714055174,Hedef 7,425.0,259.0,118.0,13.0,41.75717587797207,29.45658824537262,325.6282726965642,350,500,12.300587632599445,566.1900651324016,183.9279107122037
Drone 2,212.33983781119866,156.9658713825716,24.89497901177674,50,8.95367594470128,3.050007239316778,Hedef 8,415.0,335.0,254.0,12.0,30.127619232407675,18.123936048389616,19.74205031860754,350,500,12.003683184018058,276.5358297402942,295.2960380851075
